Name,Intelligence,Strength,Speed,Durability,Power,Combat,Full name,Alignment,Gender,Race,Height (cm),Weight (kg),Eye color,Hair color,Occupation
3-D Man,80,35,45,35,25,55,Charles Chandler,good,Male,-,188,90,Brown,Grey,Test pilot  adventurer
Abe Sapien,95,30,35,65,100,85,Abraham Sapien,good,Male,Icthyo Sapien,191,65,Blue,No Hair,Paranormal Investigator
Abin Sur,80,90,55,65,100,65,-,good,Male,Ungaran,185,90,Blue,No Hair,Green Lantern  former history professor
A-Bomb,75,100,20,80,25,65,Richard Milhouse Jones,good,Male,Human,203,441,Yellow,No Hair,Musician  adventurer  author; formerly talk show host
Abomination,85,80,55,90,65,95,Emil Blonsky,bad,Male,Human / Radiation,203,441,Green,No Hair,Ex-Spy
Abraxas,100,100,85,100,100,55,Abraxas,bad,Male,Cosmic Entity,0,0,Blue,Black,Dimensional destroyer
Absorbing Man,75,80,25,100,100,65,Carl Creel,bad,Male,Human,193,122,Blue,No Hair,Professional criminal; former professional boxer
Adam Monroe,85,10,15,100,100,65,-,good,Male,-,0,0,Blue,Blond,former samurai swordsman  former British mercenary commander  former soldier in the Confederate Army
Adam Strange,85,10,35,40,40,50,Adam Strange,good,Male,Human,185,88,Blue,Blond,Adventurer  archaelogist  ambassador
Agent 13,80,40,45,50,45,85,Sharon Carter,good,Female,-,173,61,Blue,Blond,Agent of SHIELD
Agent Bob,60,10,15,5,5,20,Bob,good,Male,Human,178,81,Brown,Brown,Mercenary  janitor; former pirate  terrorist
Agent Zero,90,30,40,80,75,95,Christoph Nord,good,Male,-,191,104,-,-,Mercenary  former government operative  freedom fighter
Air-Walker,80,85,100,85,100,40,Gabriel Lan,bad,Male,-,188,108,Blue,White,Former starship captain  Herald of Galactus
Ajax,80,50,35,80,35,55,Francis,bad,Male,Cyborg,193,90,Brown,Black,-
Alex Mercer,80,80,45,90,100,50,Alexander J. Mercer,bad,Male,Human,0,0,-,-,-
Alex Woolsly,55,35,40,45,35,40,Alex Woolsly,good,Male,-,0,0,-,-,Employee at Sam's Comics
Alfred Pennyworth,85,10,20,10,10,55,Alfred Thaddeus Crane Pennyworth,good,Male,Human,178,72,Blue,Black,Butler; Caretaker  former Actor; Field Medic; Government Agent
Alien,80,30,45,90,60,60,Xenomorph,bad,Male,Xenomorph XX121,244,169,-,No Hair,-
Amazo,85,100,85,100,100,100,-,bad,Male,Android,257,173,Red,-,-
Ammo,35,45,35,35,25,70,-,bad,Male,Human,188,101,Brown,Black,Gang leader   criminal   former soldier
Ando Masahashi,35,25,30,60,65,30,Ando Masahashi,good,Male,-,0,0,-,-,Yamagato Industries computer programmer
Angel,90,30,60,90,100,75,Liam,good,Male,Vampire,0,0,-,-,-
Angel,85,15,50,65,30,45,Warren Kenneth Worthington III,good,Male,-,183,68,Blue,Blond,Adventurer  chairman & principal stockholder of Worthington Industries  former terrorist
Angel Dust,75,55,25,45,20,30,Christina,good,Female,Mutant,165,57,Yellow,Black,-
Angel Salvadore,75,10,30,30,60,60,Angel Salvadore Bohusk,good,Female,-,163,54,Brown,Black,-
Angela,95,100,100,100,100,100,-,bad,Female,-,0,0,-,-,-
Animal Man,80,50,50,85,75,80,Bernhard Baker,good,Male,Human,183,83,Blue,Blond,-
Annihilus,90,80,50,60,60,65,Annihilus,bad,Male,-,180,90,Green,No Hair,Conqueror  scavenger
Anti-Monitor,95,100,50,100,100,90,-,bad,Male,God / Eternal,6100,0,Yellow,No Hair,-
Anti-Spawn,75,60,55,65,70,65,Jason Wynn,bad,Male,-,0,0,-,-,-
Anti-Venom,90,60,65,90,100,85,Edward Charles Allan Brock,-,Male,Symbiote,229,358,Blue,Blond,Vigilante; former journalist for the Daily Globe
Ant-Man,100,20,25,30,35,35,Henry Jonathan Pym,good,Male,Human,211,122,Blue,Blond,Adventurer  Biochemist  former manager of Avengers Compound
Ant-Man II,90,20,20,40,55,30,Scott Lang,good,Male,Human,183,86,Blue,Blond,Electronics Technician 
Apocalypse,100,100,35,100,100,60,En Sabah Nur,bad,Male,Mutant,213,135,Red,Black,Student; formerly Conqueror; Scientist
Aquababy,60,20,15,15,40,15,Arthur Curry  Jr.,good,Male,-,0,0,Blue,Blond,-
Aqualad,85,45,45,75,90,60,Garth,good,Male,Atlantean,178,106,Blue,Black,Adventurer; Magician  former Sidekick
Aquaman,95,85,80,80,100,80,Orin,good,Male,Atlantean,185,146,Blue,Blond,Protector of the Seas and Oceans  King of Poseidonis
Arachne,80,50,50,70,75,70,Julia Carpenter,good,Female,Human,175,63,Blue,Blond,Adventurer  fugitive  former government agent
